datetime,open,high,low,close,volume
2019-05-23T05:00:00.000000000Z,0.8817,0.88386,0.88146,0.88232,4126
2019-05-23T09:00:00.000000000Z,0.88234,0.88241,0.88024,0.8808,3715
2019-05-23T13:00:00.000000000Z,0.88077,0.88242,0.87902,0.88204,6866
2019-05-23T17:00:00.000000000Z,0.88206,0.88371,0.88204,0.88333,1561
2019-05-23T21:00:00.000000000Z,0.88363,0.88363,0.88286,0.8831,626
2019-05-24T01:00:00.000000000Z,0.88312,0.88334,0.88302,0.88323,629
2019-05-24T05:00:00.000000000Z,0.8832,0.88379,0.88138,0.88154,3040
2019-05-24T09:00:00.000000000Z,0.88152,0.88504,0.88027,0.88368,6075
2019-05-24T13:00:00.000000000Z,0.88371,0.88426,0.88134,0.8814,4742
2019-05-24T17:00:00.000000000Z,0.88138,0.88192,0.88048,0.88142,1606
2019-05-26T21:00:00.000000000Z,0.8803,0.8817,0.88008,0.88056,526
2019-05-27T01:00:00.000000000Z,0.88058,0.8808,0.88023,0.88026,443
2019-05-27T05:00:00.000000000Z,0.88023,0.88096,0.87903,0.8809,2345
2019-05-27T09:00:00.000000000Z,0.88086,0.88328,0.88079,0.88316,2515
2019-05-27T13:00:00.000000000Z,0.88314,0.88354,0.88249,0.88252,1491
2019-05-27T17:00:00.000000000Z,0.88254,0.88294,0.88242,0.88272,4627
2019-05-27T21:00:00.000000000Z,0.88324,0.88422,0.88252,0.88268,620
2019-05-28T01:00:00.000000000Z,0.8827,0.88284,0.88218,0.88233,508
2019-05-28T05:00:00.000000000Z,0.88236,0.88405,0.8806,0.88334,4476
2019-05-28T09:00:00.000000000Z,0.8833,0.88418,0.88224,0.88314,3306
2019-05-28T13:00:00.000000000Z,0.88312,0.88348,0.88129,0.8815,4596
2019-05-28T17:00:00.000000000Z,0.88148,0.88244,0.88148,0.88216,1238
2019-05-28T21:00:00.000000000Z,0.882,0.88253,0.8819,0.88246,600
2019-05-29T01:00:00.000000000Z,0.88248,0.8827,0.88184,0.88197,624
2019-05-29T05:00:00.000000000Z,0.88199,0.88325,0.88154,0.8823,2698
2019-05-29T09:00:00.000000000Z,0.88232,0.88308,0.88078,0.88101,3050
2019-05-29T13:00:00.000000000Z,0.88098,0.88255,0.87984,0.88229,5433
2019-05-29T17:00:00.000000000Z,0.88226,0.88226,0.88134,0.88155,1619
2019-05-29T21:00:00.000000000Z,0.88166,0.8824,0.8813,0.88233,574
2019-05-30T01:00:00.000000000Z,0.88236,0.88253,0.88162,0.88168,503
